observation_id,source_id,source_content_sha256,augmentation_id,split,image_path,kelembapan_udara,kelembapan_tanah,ph_tanah,label_original,label_canonical,label_corrected_flag,label_basis,is_synthetic
OBS0001,SRC0159,ab11fa89850678ce5f021c8cfc18cb30baefe83c3f6c8f5ac67e43e21a03a026,0,train,images/B (1).jpg,84.6,56.19,5.89,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0002,SRC0131,8fe277ce849a8937ba1544b05c819b74e57f7d38cf7098bb865a40610237e558,0,validation,images/B (1).png,82.49,52.95,5.3,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0003,SRC0122,85c5cd52950831c0ebd21b84ee9caf63536160c56faec9a234705fbfca70c423,0,train,images/B (10).jpg,82.73,48.36,5.21,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0004,SRC0173,ba92b41492684ec660d169de6196b14aa51f99b67a4e05405fd21ed70403f14e,0,validation,images/B (10).png,94.27,49.7,6.03,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0005,SRC0012,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,0,train,images/B (100).jpg,83.97,50.2,4.8,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0006,SRC0224,edbf46d0c4da07df09d5e9e0fac25864788aa4fc28761da79471d501757ae0e2,0,train,images/B (100).png,78.13,53.24,6.1,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0007,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,0,train,images/B (101).jpg,92.15,51.79,5.42,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0008,SRC0081,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,0,train,images/B (101).png,84.25,65.88,5.55,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0009,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,0,train,images/B (102).jpg,79.05,50.7,5.47,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0010,SRC0081,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,0,train,images/B (102).png,86.16,49.47,5.11,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0011,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,0,train,images/B (103).jpg,80.46,44.66,5.51,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0012,SRC0196,d264a9cffc01c5f6d7a9799a9c533b6369f402a75ed8123193a8b3cc32137fe1,0,train,images/B (103).png,83.51,53.05,5.56,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0013,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,0,train,images/B (104).jpg,82.31,43.84,6.07,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0014,SRC0196,d264a9cffc01c5f6d7a9799a9c533b6369f402a75ed8123193a8b3cc32137fe1,0,train,images/B (104).png,69.52,55.95,4.94,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0015,SRC0019,14868e12bb61204d4680f3f9fac12b0ea3f012ab19d4ed11bf92816f4499ff19,0,train,images/B (105).png,67.1,65.32,5.44,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0016,SRC0019,14868e12bb61204d4680f3f9fac12b0ea3f012ab19d4ed11bf92816f4499ff19,0,train,images/B (106).png,80.31,46.41,6.43,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0017,SRC0194,d1eacbd4bde7348a423c563ca65efaa8e40a5ad16c8c64ef73559bc8e2791105,0,train,images/B (107).png,76.34,43.44,5.43,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0018,SRC0194,d1eacbd4bde7348a423c563ca65efaa8e40a5ad16c8c64ef73559bc8e2791105,0,train,images/B (108).png,87.02,59.45,5.53,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0019,SRC0092,65079fd9283fb9d34d45f2785aba6963e030d2f8c91c397fee2ef99eff11396a,0,train,images/B (109).png,77.48,52.63,5.49,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0020,SRC0072,53aaf229279b4be690777f738c7c40e5e5e0d5e61f60ddd8e7f8a16918575134,0,train,images/B (11).jpg,70.58,51.56,5.51,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0021,SRC0193,d1dbc1116a9b09246b7fd7da2d356f35190b841f76ee73dd44f1ea2e732806d7,0,train,images/B (11).png,91.03,51.03,5.94,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0022,SRC0092,65079fd9283fb9d34d45f2785aba6963e030d2f8c91c397fee2ef99eff11396a,0,train,images/B (110).png,79.74,39.96,5.8,Karat daun,Leaf spot,YES,original image class-code prefix 'B',NO
OBS0023,SRC0084,5fad67b3b32067de8c80f50063cf2a27342ed33048b479e5122c8737aa94b5ed,0,validation,images/B (111).png,79.71,65.08,5.54,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0024,SRC0084,5fad67b3b32067de8c80f50063cf2a27342ed33048b479e5122c8737aa94b5ed,0,validation,images/B (112).png,77.62,66.39,5.84,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0025,SRC0021,1522a7f7f912a1e02ed8981e72096d3401a185a2aef93f5c81ab18bbf228f911,0,train,images/B (113).png,74.51,51.17,5.87,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0026,SRC0021,1522a7f7f912a1e02ed8981e72096d3401a185a2aef93f5c81ab18bbf228f911,0,train,images/B (114).png,85.28,52.19,5.14,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0027,SRC0106,734919706e08ff15aecb434f1ca3b85b702123226885d73ac3b5c1bb435bec7c,0,train,images/B (115).png,73.75,50.02,6.1,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0028,SRC0106,734919706e08ff15aecb434f1ca3b85b702123226885d73ac3b5c1bb435bec7c,0,train,images/B (116).png,86.05,52.48,6.09,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0029,SRC0100,6d38de8f3df8a1ceb7525497e01220c5f8c010dc0997055ec5f220889b7545b9,0,train,images/B (117).png,76.9,54.53,5.65,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0030,SRC0100,6d38de8f3df8a1ceb7525497e01220c5f8c010dc0997055ec5f220889b7545b9,0,train,images/B (118).png,81.84,68.94,5.09,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0031,SRC0135,93deab2b9b015f9a208839c169620ed379b8da8792b017385b6dc17d7e0db1b0,0,train,images/B (119).png,75.17,52.98,6.23,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0032,SRC0072,53aaf229279b4be690777f738c7c40e5e5e0d5e61f60ddd8e7f8a16918575134,0,train,images/B (12).jpg,95.09,49.52,5.5,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0033,SRC0193,d1dbc1116a9b09246b7fd7da2d356f35190b841f76ee73dd44f1ea2e732806d7,0,train,images/B (12).png,82.61,42.31,4.24,Jamur lain,Leaf spot,YES,original image class-code prefix 'B',NO
OBS0034,SRC0135,93deab2b9b015f9a208839c169620ed379b8da8792b017385b6dc17d7e0db1b0,0,train,images/B (120).png,72.09,42.56,6.03,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0035,SRC0035,24b8cc1822c3510db55c58b0ab12c0257c1d0fccc3633fa8913a8729d8a290b0,0,validation,images/B (121).png,86.18,51.87,5.6,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0036,SRC0035,24b8cc1822c3510db55c58b0ab12c0257c1d0fccc3633fa8913a8729d8a290b0,0,validation,images/B (122).png,72.3,62.76,5.69,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
OBS0037,SRC0171,ba3ffd50924125f7fdd9058b3b58be24e51bc1acce520e3bec555f34e211af6c,0,validation,images/B (123).png,81.42,44.41,5.55,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO
