image_filename,file_sha256,decoded_pixel_sha256,width,height,source_id
B (1).jpg,8a1b9a2fd417910729fee2f06e2a2d18c376913e4c69a0a93cf95150d0aae411,ab11fa89850678ce5f021c8cfc18cb30baefe83c3f6c8f5ac67e43e21a03a026,1139,947,SRC0159
B (1).png,5519ad344d0afdc20b615ec27afed2c2664d7be9b65f68d62a1fe0aab63dc591,8fe277ce849a8937ba1544b05c819b74e57f7d38cf7098bb865a40610237e558,316,304,SRC0131
B (10).jpg,60f02dd866ec80df9a5fd4499a0b4ea76634b5243c654010fef1c18e8fc4ee71,85c5cd52950831c0ebd21b84ee9caf63536160c56faec9a234705fbfca70c423,1063,796,SRC0122
B (10).png,60900063d3069c815c866c530649a5d226379a3d4bd952dc4fc2882aa812064b,ba92b41492684ec660d169de6196b14aa51f99b67a4e05405fd21ed70403f14e,304,316,SRC0173
B (100).jpg,c0747848f8facee8a6434bb488a2a2eb455a8b452e00db3ff5caec6faf6a6fdb,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,1469,1102,SRC0012
B (100).png,8d96f68b438ee55bfe811c83a10b75d0060833388f037451ef422029a15d3bbb,edbf46d0c4da07df09d5e9e0fac25864788aa4fc28761da79471d501757ae0e2,162,89,SRC0224
B (101).jpg,668258c9dfeb3c23467603dc89e52905910d1ab004a7e0b20cf35b00f6216f91,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,764,573,SRC0109
B (101).png,c2fa3ed6dde8f1cd9c985c59e49c0923d965e268abc068acfe01bfb735949a39,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,557,178,SRC0081
B (102).jpg,668258c9dfeb3c23467603dc89e52905910d1ab004a7e0b20cf35b00f6216f91,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,764,573,SRC0109
B (102).png,c2fa3ed6dde8f1cd9c985c59e49c0923d965e268abc068acfe01bfb735949a39,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,557,178,SRC0081
B (103).jpg,668258c9dfeb3c23467603dc89e52905910d1ab004a7e0b20cf35b00f6216f91,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,764,573,SRC0109
B (103).png,b3a53ac498615395e59398d730f97c7017e95747254059f1241cd7fae4528aec,d264a9cffc01c5f6d7a9799a9c533b6369f402a75ed8123193a8b3cc32137fe1,196,156,SRC0196
B (104).jpg,668258c9dfeb3c23467603dc89e52905910d1ab004a7e0b20cf35b00f6216f91,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,764,573,SRC0109
B (104).png,b3a53ac498615395e59398d730f97c7017e95747254059f1241cd7fae4528aec,d264a9cffc01c5f6d7a9799a9c533b6369f402a75ed8123193a8b3cc32137fe1,196,156,SRC0196
B (105).png,19cc396a86f3d6202eaf5f642f5329220ccce86d4bc7b4643e00129f827a0867,14868e12bb61204d4680f3f9fac12b0ea3f012ab19d4ed11bf92816f4499ff19,193,118,SRC0019
B (106).png,19cc396a86f3d6202eaf5f642f5329220ccce86d4bc7b4643e00129f827a0867,14868e12bb61204d4680f3f9fac12b0ea3f012ab19d4ed11bf92816f4499ff19,193,118,SRC0019
B (107).png,1a25960508c9afcd5db4b414d4400331ec5c10b73559aaa050a7f532c20ca84a,d1eacbd4bde7348a423c563ca65efaa8e40a5ad16c8c64ef73559bc8e2791105,174,126,SRC0194
B (108).png,1a25960508c9afcd5db4b414d4400331ec5c10b73559aaa050a7f532c20ca84a,d1eacbd4bde7348a423c563ca65efaa8e40a5ad16c8c64ef73559bc8e2791105,174,126,SRC0194
B (109).png,93bcd94c32fc9714fc1633cbbde1606903b00046685f04fb383dd8502fbec373,65079fd9283fb9d34d45f2785aba6963e030d2f8c91c397fee2ef99eff11396a,261,134,SRC0092
B (11).jpg,6b7afd58ce50486fc75220235a0cd669faed243db2b22240079a17011a498e82,53aaf229279b4be690777f738c7c40e5e5e0d5e61f60ddd8e7f8a16918575134,1184,888,SRC0072
B (11).png,580fdb60fde3659f1b23732f0f4b9fd722bf0479008f54283944938f31591223,d1dbc1116a9b09246b7fd7da2d356f35190b841f76ee73dd44f1ea2e732806d7,316,304,SRC0193
B (110).png,93bcd94c32fc9714fc1633cbbde1606903b00046685f04fb383dd8502fbec373,65079fd9283fb9d34d45f2785aba6963e030d2f8c91c397fee2ef99eff11396a,261,134,SRC0092
B (111).png,6751fb9c7c9951d9a8dba8383225602e573d6cb8b033d52ef664ec436d59c391,5fad67b3b32067de8c80f50063cf2a27342ed33048b479e5122c8737aa94b5ed,131,111,SRC0084
B (112).png,6751fb9c7c9951d9a8dba8383225602e573d6cb8b033d52ef664ec436d59c391,5fad67b3b32067de8c80f50063cf2a27342ed33048b479e5122c8737aa94b5ed,131,111,SRC0084
B (113).png,c90582428acf72a919309b1f2e677710436d69bf073a6ab257e8bc851a1e6c79,1522a7f7f912a1e02ed8981e72096d3401a185a2aef93f5c81ab18bbf228f911,293,107,SRC0021
B (114).png,c90582428acf72a919309b1f2e677710436d69bf073a6ab257e8bc851a1e6c79,1522a7f7f912a1e02ed8981e72096d3401a185a2aef93f5c81ab18bbf228f911,293,107,SRC0021
B (115).png,983be96ce42ef6ef9206a19523e64d2dfaedbb63a3a68a540d0fd375b6da70b9,734919706e08ff15aecb434f1ca3b85b702123226885d73ac3b5c1bb435bec7c,187,128,SRC0106
B (116).png,983be96ce42ef6ef9206a19523e64d2dfaedbb63a3a68a540d0fd375b6da70b9,734919706e08ff15aecb434f1ca3b85b702123226885d73ac3b5c1bb435bec7c,187,128,SRC0106
B (117).png,8341563d235e05a9993e37f97bc4ca9ac759fc905ead7cbc8ad80341fcf8f04e,6d38de8f3df8a1ceb7525497e01220c5f8c010dc0997055ec5f220889b7545b9,225,133,SRC0100
B (118).png,8341563d235e05a9993e37f97bc4ca9ac759fc905ead7cbc8ad80341fcf8f04e,6d38de8f3df8a1ceb7525497e01220c5f8c010dc0997055ec5f220889b7545b9,225,133,SRC0100
B (119).png,b37d24f73b221fbb34315e6ab18f6ea3cd7409494b8b85e6508322fd79f2013b,93deab2b9b015f9a208839c169620ed379b8da8792b017385b6dc17d7e0db1b0,189,109,SRC0135
B (12).jpg,6b7afd58ce50486fc75220235a0cd669faed243db2b22240079a17011a498e82,53aaf229279b4be690777f738c7c40e5e5e0d5e61f60ddd8e7f8a16918575134,1184,888,SRC0072
B (12).png,580fdb60fde3659f1b23732f0f4b9fd722bf0479008f54283944938f31591223,d1dbc1116a9b09246b7fd7da2d356f35190b841f76ee73dd44f1ea2e732806d7,316,304,SRC0193
B (120).png,b37d24f73b221fbb34315e6ab18f6ea3cd7409494b8b85e6508322fd79f2013b,93deab2b9b015f9a208839c169620ed379b8da8792b017385b6dc17d7e0db1b0,189,109,SRC0135
B (121).png,9f34fd997e7cd735f6316ebb35f1f25e26c034e3b0d9dbcf7020357e3e5233be,24b8cc1822c3510db55c58b0ab12c0257c1d0fccc3633fa8913a8729d8a290b0,153,112,SRC0035
B (122).png,9f34fd997e7cd735f6316ebb35f1f25e26c034e3b0d9dbcf7020357e3e5233be,24b8cc1822c3510db55c58b0ab12c0257c1d0fccc3633fa8913a8729d8a290b0,153,112,SRC0035
B (123).png,83cd88029ba1a6b5b90c72d361599ab4827e5ac1ed5539ca915b3da0f896d9f8,ba3ffd50924125f7fdd9058b3b58be24e51bc1acce520e3bec555f34e211af6c,169,90,SRC0171
B (124).png,83cd88029ba1a6b5b90c72d361599ab4827e5ac1ed5539ca915b3da0f896d9f8,ba3ffd50924125f7fdd9058b3b58be24e51bc1acce520e3bec555f34e211af6c,169,90,SRC0171
B (125).png,5440dfe5070baa3ac0893a656a1ded6bd601c5b0e9b38a5199b2522b9e3ea82f,1789ae453ba022519d9834eac1dfffb7782e054ef34097bf866524cc48c46ff1,217,113,SRC0023
B (126).png,5440dfe5070baa3ac0893a656a1ded6bd601c5b0e9b38a5199b2522b9e3ea82f,1789ae453ba022519d9834eac1dfffb7782e054ef34097bf866524cc48c46ff1,217,113,SRC0023
B (127).png,1b6fcd9761c96dbfd0bb5702dff36a535c825b9eaaaa090873c1aa458d226ba9,71b8cc7312ff69243327712c3377622d5f52091568989f1d0c2f3f13e0c833c6,225,110,SRC0105
B (128).png,1b6fcd9761c96dbfd0bb5702dff36a535c825b9eaaaa090873c1aa458d226ba9,71b8cc7312ff69243327712c3377622d5f52091568989f1d0c2f3f13e0c833c6,225,110,SRC0105
B (129).png,afd493cc4a679768ba4f89b4cb189a1b3a52cfb18f6b0119164232a8461bc780,16bde79c57394c5fb80da7205ea0e4e02e6197d9450b37e9cb6b6394a510aca2,208,114,SRC0022
