observation_id,image_path,label_original,label_original_canonical,label_corrected,correction_basis
OBS0022,images/B (110).png,Karat daun,Coffee rust,Leaf spot,original image class-code prefix 'B'
OBS0033,images/B (12).png,Jamur lain,Sooty mold,Leaf spot,original image class-code prefix 'B'
OBS0041,images/B (127).png,Sehat,Healthy,Leaf spot,original image class-code prefix 'B'
OBS0051,images/B (137).png,Jamur lain,Sooty mold,Leaf spot,original image class-code prefix 'B'
OBS0069,images/B (151).png,Jamur lain,Sooty mold,Leaf spot,original image class-code prefix 'B'
OBS0100,images/B (3).jpg,Karat daun,Coffee rust,Leaf spot,original image class-code prefix 'B'
OBS0117,images/B (37).png,Sehat,Healthy,Leaf spot,original image class-code prefix 'B'
OBS0154,images/B (54).jpg,Karat daun,Coffee rust,Leaf spot,original image class-code prefix 'B'
OBS0164,images/B (59).jpg,Sehat,Healthy,Leaf spot,original image class-code prefix 'B'
OBS0197,images/B (73).png,Jamur lain,Sooty mold,Leaf spot,original image class-code prefix 'B'
OBS0203,images/B (76).png,Karat daun,Coffee rust,Leaf spot,original image class-code prefix 'B'
OBS0244,images/B (95).jpg,Karat daun,Coffee rust,Leaf spot,original image class-code prefix 'B'
OBS0262,images/Ds (106).png,Jamur lain,Sooty mold,Healthy,original image class-code prefix 'Ds'
OBS0263,images/Ds (107).png,Karat daun,Coffee rust,Healthy,original image class-code prefix 'Ds'
OBS0303,images/Ds (143).png,Bercak daun,Leaf spot,Healthy,original image class-code prefix 'Ds'
OBS0326,images/Ds (29).jpg,Karat daun,Coffee rust,Healthy,original image class-code prefix 'Ds'
OBS0342,images/Ds (43).jpg,Bercak daun,Leaf spot,Healthy,original image class-code prefix 'Ds'
OBS0361,images/Ds (60).jpg,Bercak daun,Leaf spot,Healthy,original image class-code prefix 'Ds'
OBS0390,images/Ds (87).png,Karat daun,Coffee rust,Healthy,original image class-code prefix 'Ds'
OBS0441,images/Ej (129).png,Karat daun,Coffee rust,Sooty mold,original image class-code prefix 'Ej'
OBS0444,images/Ej (130).png,Sehat,Healthy,Sooty mold,original image class-code prefix 'Ej'
OBS0446,images/Ej (132).png,Bercak daun,Leaf spot,Sooty mold,original image class-code prefix 'Ej'
OBS0488,images/Ej (24).png,Karat daun,Coffee rust,Sooty mold,original image class-code prefix 'Ej'
OBS0493,images/Ej (27).jpg,Bercak daun,Leaf spot,Sooty mold,original image class-code prefix 'Ej'
OBS0524,images/Ej (40).png,Bercak daun,Leaf spot,Sooty mold,original image class-code prefix 'Ej'
OBS0535,images/Ej (46).png,Karat daun,Coffee rust,Sooty mold,original image class-code prefix 'Ej'
OBS0556,images/Ej (63).png,Bercak daun,Leaf spot,Sooty mold,original image class-code prefix 'Ej'
OBS0585,images/Ej (88).png,Sehat,Healthy,Sooty mold,original image class-code prefix 'Ej'
OBS0589,images/Ej (90).png,Sehat,Healthy,Sooty mold,original image class-code prefix 'Ej'
OBS0592,images/Ej (93).png,Karat daun,Coffee rust,Sooty mold,original image class-code prefix 'Ej'
OBS0600,images/K (1).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0612,images/K (109).png,Jamur lain,Sooty mold,Coffee rust,original image class-code prefix 'K'
OBS0628,images/K (121).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0643,images/K (134).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0652,images/K (141).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0654,images/K (143).png,Bercak daun,Leaf spot,Coffee rust,original image class-code prefix 'K'
OBS0665,images/K (16).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0675,images/K (20).png,Bercak daun,Leaf spot,Coffee rust,original image class-code prefix 'K'
OBS0706,images/K (35).jpg,Jamur lain,Sooty mold,Coffee rust,original image class-code prefix 'K'
OBS0745,images/K (52).png,Jamur lain,Sooty mold,Coffee rust,original image class-code prefix 'K'
OBS0761,images/K (6).png,Sehat,Healthy,Coffee rust,original image class-code prefix 'K'
OBS0827,images/K (9).png,Jamur lain,Sooty mold,Coffee rust,original image class-code prefix 'K'
