source_id,source_content_sha256,label_canonical,split,n_original_records,representative_image,all_image_paths,n_distinct_sensor_triplets,rh_min,rh_max,soil_moisture_min,soil_moisture_max,ph_min,ph_max
SRC0001,008dcf2894693b2c13d575ad4ad9da91fac7cddef15954f3fc0b465b90f12b1a,Sooty mold,train,4,Ej (11).jpg,Ej (11).jpg; Ej (12).jpg; Ej (13).jpg; Ej (14).jpg,4,79.38,96.02,74.89,85.57,5.12,6.12
SRC0002,01cc228b19c1f1b7f64402262ff3a605e5df76ebfd8932e6a85051539c702c93,Coffee rust,validation,4,K (117).png,K (117).png; K (118).png; K (119).png; K (120).png,4,71.25,90.28,46.12,61.94,4.8,5.51
SRC0003,023b290bb2f12b60cd754a774f6b85095b0b93f62664785559f4439c5bb255b0,Leaf spot,train,2,B (61).png,B (61).png; B (62).png,2,77.74,80.89,59.74,68.6,5.35,5.56
SRC0004,024a13335e1488b0fccb0e1a943e81b0481d72ddf98a7e1c9f7baf6434598215,Healthy,train,5,Ds (142).png,Ds (142).png; Ds (144).png; Ds (146).png; Ds (148).png; Ds (150).png,5,63.98,71.77,57.59,71.15,5.93,6.95
SRC0005,045207b7af038adfc868702c7e649aabdeb904a3779b87b6715e92013a1fffb0,Healthy,train,8,Ds (110).png,Ds (110).png; Ds (112).png; Ds (114).png; Ds (116).png; Ds (118).png; Ds (120).png; Ds (122).png; Ds (124).png,8,60.95,83.22,59.04,71.2,5.36,7.6
SRC0006,07ca5e6fa475b57369a1d16f40f3f9cf4db0b360195c22105adbe4ad5e1ab005,Sooty mold,train,2,Ej (1).png,Ej (1).png; Ej (2).png,2,86.38,94.14,73.91,74.73,5.8,5.89
SRC0007,08202b66d08247a423e571085b9608e7ecd477c7e2a306d4f03dbe6477c91c08,Leaf spot,validation,1,B (83).jpg,B (83).jpg,1,81.29,81.29,60.49,60.49,6.44,6.44
SRC0008,09650e638811e5f28617406191a1e4232fec1f6ac1f7b75fb2ada76133b67b51,Coffee rust,train,4,K (49).png,K (49).png; K (50).png; K (51).png; K (52).png,4,69.36,86.49,43.7,56.46,4.54,5.53
SRC0009,09c878106eaf5a931dda0893d81a1adeb3b9ec5f972195c2c7488c68c76a1b3f,Leaf spot,train,2,B (14).jpg,B (14).jpg; B (33).jpg,2,85.56,88.53,49.1,58.28,5.06,5.5
SRC0010,0af6686a2da21e0597f710ea1978ba7b3270a2cf794cf990f78f3a8b2e8a7b4b,Leaf spot,train,2,B (19).jpg,B (19).jpg; B (20).jpg,2,65.3,85.54,54.71,58.54,5.91,6.1
SRC0011,0b033aaffff272c1599d93561c9b7ff2ccd360f1c4590fb54e9dc6dce7a04ae0,Leaf spot,train,2,B (63).png,B (63).png; B (64).png,2,78.59,88.53,51.42,66.7,6.24,6.4
SRC0012,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,Leaf spot,train,4,B (100).jpg,B (100).jpg; B (97).jpg; B (98).jpg; B (99).jpg,4,76.46,86.98,48.15,56.03,4.8,6.52
SRC0013,0c0f72715084e9b0e4e278b80aba7d0f1fa4a8701bdfea2d292994819c3d7f3a,Coffee rust,train,2,K (70).jpg,K (70).jpg; K (71).jpg,2,79.06,83.12,47.38,61.14,4.8,5.33
SRC0014,0cf510cb40833937800f1c362e2c3db64f183fdb611c5a7f278f63e43dade121,Coffee rust,train,3,K (4).jpg,K (4).jpg; K (5).jpg; K (6).jpg,3,84.11,89.56,46.98,53.73,4.22,5.53
SRC0015,0e3764b57080c34301d6fa281e878be5437952e504069a8823a1a4785a5f8d69,Sooty mold,train,4,Ej (3).png,Ej (3).png; Ej (4).png; Ej (5).png; Ej (6).png,4,82.72,93.73,67.47,88.45,5.75,6.61
SRC0016,10f20d76149427f95d9ae85b624f5fd9b1cc8609129fdbf433be87ca35e09d61,Leaf spot,train,1,B (7).jpg,B (7).jpg,1,79.45,79.45,49.14,49.14,5.72,5.72
SRC0017,132a50fe460a1f96e3a0c134ea206dfa579b9fbb7c23317dd2a16733a43d1dc7,Coffee rust,train,2,K (44).jpg,K (44).jpg; K (45).jpg,2,79.17,81.33,46.68,49.65,5.42,5.82
SRC0018,132d19efdd0133c4921f8f6d5804fd60c494c4d5bb964c94556cfa57a320fe33,Coffee rust,train,3,K (7).jpg,K (7).jpg; K (8).jpg; K (9).jpg,3,69.51,92.28,45.13,55.13,4.63,5.56
SRC0019,14868e12bb61204d4680f3f9fac12b0ea3f012ab19d4ed11bf92816f4499ff19,Leaf spot,train,2,B (105).png,B (105).png; B (106).png,2,67.1,80.31,46.41,65.32,5.44,6.43
SRC0020,14fa3d0b8c415d9e74e830e08b7b7c90882de31d793baf8d4dad18aa8f4aa2e2,Coffee rust,train,4,K (10).png,K (10).png; K (11).png; K (12).png; K (9).png,4,69.7,86.39,46.65,66.26,4.76,6.55
SRC0021,1522a7f7f912a1e02ed8981e72096d3401a185a2aef93f5c81ab18bbf228f911,Leaf spot,train,2,B (113).png,B (113).png; B (114).png,2,74.51,85.28,51.17,52.19,5.14,5.87
SRC0022,16bde79c57394c5fb80da7205ea0e4e02e6197d9450b37e9cb6b6394a510aca2,Leaf spot,validation,2,B (129).png,B (129).png; B (130).png,2,80.64,84.61,52.43,57.96,5.53,5.64
