observation_id,source_id,source_content_sha256,augmentation_id,split,image_path,kelembapan_udara,kelembapan_tanah,ph_tanah,label_original,label_canonical,label_corrected_flag,label_basis,is_synthetic,parent_observation_id,augmentation_noise_rh,augmentation_noise_sm,augmentation_noise_ph,augmentation_rule
OBS0001,SRC0159,ab11fa89850678ce5f021c8cfc18cb30baefe83c3f6c8f5ac67e43e21a03a026,0,train,images/B (1).jpg,84.6,56.19,5.89,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0001,0.0,0.0,0.0,original measurement
OBS0001,SRC0159,ab11fa89850678ce5f021c8cfc18cb30baefe83c3f6c8f5ac67e43e21a03a026,1,train,images/B (1).jpg,84.4271,55.9825,5.8811,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0001,-0.172908,-0.207484,-0.008905,Gaussian perturbation; clipped to training-observed min/max
OBS0001,SRC0159,ab11fa89850678ce5f021c8cfc18cb30baefe83c3f6c8f5ac67e43e21a03a026,2,train,images/B (1).jpg,85.4424,56.0369,5.7702,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0001,0.84238,-0.153106,-0.119788,Gaussian perturbation; clipped to training-observed min/max
OBS0003,SRC0122,85c5cd52950831c0ebd21b84ee9caf63536160c56faec9a234705fbfca70c423,0,train,images/B (10).jpg,82.73,48.36,5.21,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0003,0.0,0.0,0.0,original measurement
OBS0003,SRC0122,85c5cd52950831c0ebd21b84ee9caf63536160c56faec9a234705fbfca70c423,1,train,images/B (10).jpg,83.1288,48.0392,5.1926,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0003,0.398782,-0.320805,-0.017357,Gaussian perturbation; clipped to training-observed min/max
OBS0003,SRC0122,85c5cd52950831c0ebd21b84ee9caf63536160c56faec9a234705fbfca70c423,2,train,images/B (10).jpg,82.8691,48.6388,5.3031,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0003,0.139062,0.278757,0.093085,Gaussian perturbation; clipped to training-observed min/max
OBS0005,SRC0012,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,0,train,images/B (100).jpg,83.97,50.2,4.8,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0005,0.0,0.0,0.0,original measurement
OBS0005,SRC0012,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,1,train,images/B (100).jpg,84.758,50.3326,4.7409,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0005,0.787964,0.132609,-0.059066,Gaussian perturbation; clipped to training-observed min/max
OBS0005,SRC0012,0c07f85d9f1a0d941c8440060ad87a8ad0e1373163f0205ac9e6f3e3b6685891,2,train,images/B (100).jpg,82.7524,50.4956,4.9049,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0005,-1.217595,0.295611,0.104886,Gaussian perturbation; clipped to training-observed min/max
OBS0006,SRC0224,edbf46d0c4da07df09d5e9e0fac25864788aa4fc28761da79471d501757ae0e2,0,train,images/B (100).png,78.13,53.24,6.1,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0006,0.0,0.0,0.0,original measurement
OBS0006,SRC0224,edbf46d0c4da07df09d5e9e0fac25864788aa4fc28761da79471d501757ae0e2,1,train,images/B (100).png,78.18,53.1124,6.1425,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0006,0.049988,-0.127588,0.042542,Gaussian perturbation; clipped to training-observed min/max
OBS0006,SRC0224,edbf46d0c4da07df09d5e9e0fac25864788aa4fc28761da79471d501757ae0e2,2,train,images/B (100).png,76.3857,52.8653,6.1392,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0006,-1.744254,-0.374733,0.039229,Gaussian perturbation; clipped to training-observed min/max
OBS0007,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,0,train,images/B (101).jpg,92.15,51.79,5.42,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0007,0.0,0.0,0.0,original measurement
OBS0007,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,1,train,images/B (101).jpg,93.1981,51.5012,5.4501,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0007,1.048085,-0.288756,0.030128,Gaussian perturbation; clipped to training-observed min/max
OBS0007,SRC0109,765b0cc336fb8680ece5bd3db3f9c8668352cfe1fdbeda6c0efa8383a795e568,2,train,images/B (101).jpg,92.4479,52.7288,5.3309,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',YES,OBS0007,0.297856,0.938792,-0.089058,Gaussian perturbation; clipped to training-observed min/max
OBS0008,SRC0081,5dce6c49d8a6fbcebe4f97e17c6c92b6dde32cf1824fbf392eb009649d6bdf63,0,train,images/B (101).png,84.25,65.88,5.55,Bercak daun,Leaf spot,NO,original image class-code prefix 'B',NO,OBS0008,0.0,0.0,0.0,original measurement
