observation_id,source_id,image_path,label_canonical
OBS0001,SRC0159,images/B (1).jpg,Leaf spot
OBS0003,SRC0122,images/B (10).jpg,Leaf spot
OBS0005,SRC0012,images/B (100).jpg,Leaf spot
OBS0006,SRC0224,images/B (100).png,Leaf spot
OBS0007,SRC0109,images/B (101).jpg,Leaf spot
OBS0008,SRC0081,images/B (101).png,Leaf spot
OBS0009,SRC0109,images/B (102).jpg,Leaf spot
OBS0010,SRC0081,images/B (102).png,Leaf spot
OBS0011,SRC0109,images/B (103).jpg,Leaf spot
OBS0012,SRC0196,images/B (103).png,Leaf spot
OBS0013,SRC0109,images/B (104).jpg,Leaf spot
OBS0014,SRC0196,images/B (104).png,Leaf spot
OBS0015,SRC0019,images/B (105).png,Leaf spot
OBS0016,SRC0019,images/B (106).png,Leaf spot
OBS0017,SRC0194,images/B (107).png,Leaf spot
OBS0018,SRC0194,images/B (108).png,Leaf spot
OBS0019,SRC0092,images/B (109).png,Leaf spot
OBS0020,SRC0072,images/B (11).jpg,Leaf spot
OBS0021,SRC0193,images/B (11).png,Leaf spot
OBS0022,SRC0092,images/B (110).png,Leaf spot
OBS0025,SRC0021,images/B (113).png,Leaf spot
OBS0026,SRC0021,images/B (114).png,Leaf spot
OBS0027,SRC0106,images/B (115).png,Leaf spot
OBS0028,SRC0106,images/B (116).png,Leaf spot
OBS0029,SRC0100,images/B (117).png,Leaf spot
OBS0030,SRC0100,images/B (118).png,Leaf spot
OBS0031,SRC0135,images/B (119).png,Leaf spot
OBS0032,SRC0072,images/B (12).jpg,Leaf spot
OBS0033,SRC0193,images/B (12).png,Leaf spot
OBS0034,SRC0135,images/B (120).png,Leaf spot
OBS0041,SRC0105,images/B (127).png,Leaf spot
OBS0042,SRC0105,images/B (128).png,Leaf spot
OBS0045,SRC0063,images/B (131).png,Leaf spot
OBS0046,SRC0063,images/B (132).png,Leaf spot
OBS0049,SRC0059,images/B (135).png,Leaf spot
OBS0050,SRC0059,images/B (136).png,Leaf spot
OBS0054,SRC0009,images/B (14).jpg,Leaf spot
OBS0057,SRC0058,images/B (141).png,Leaf spot
OBS0058,SRC0058,images/B (142).png,Leaf spot
OBS0059,SRC0061,images/B (143).png,Leaf spot
OBS0060,SRC0061,images/B (144).png,Leaf spot
OBS0061,SRC0201,images/B (145).png,Leaf spot
OBS0062,SRC0201,images/B (146).png,Leaf spot
OBS0063,SRC0195,images/B (147).png,Leaf spot
OBS0064,SRC0195,images/B (148).png,Leaf spot
OBS0065,SRC0157,images/B (149).png,Leaf spot
OBS0066,SRC0090,images/B (15).jpg,Leaf spot
OBS0068,SRC0157,images/B (150).png,Leaf spot
OBS0069,SRC0193,images/B (151).png,Leaf spot
OBS0070,SRC0090,images/B (16).jpg,Leaf spot
OBS0072,SRC0029,images/B (17).jpg,Leaf spot
OBS0073,SRC0193,images/B (17).png,Leaf spot
OBS0074,SRC0029,images/B (18).jpg,Leaf spot
OBS0076,SRC0010,images/B (19).jpg,Leaf spot
OBS0077,SRC0224,images/B (19).png,Leaf spot
OBS0078,SRC0150,images/B (2).jpg,Leaf spot
OBS0080,SRC0010,images/B (20).jpg,Leaf spot
OBS0081,SRC0222,images/B (20).png,Leaf spot
OBS0082,SRC0223,images/B (21).jpg,Leaf spot
OBS0083,SRC0224,images/B (21).png,Leaf spot
OBS0084,SRC0223,images/B (22).jpg,Leaf spot
OBS0086,SRC0034,images/B (23).jpg,Leaf spot
OBS0088,SRC0034,images/B (24).jpg,Leaf spot
OBS0093,SRC0075,images/B (26).png,Leaf spot
OBS0094,SRC0048,images/B (27).jpg,Leaf spot
OBS0095,SRC0075,images/B (27).png,Leaf spot
OBS0096,SRC0048,images/B (28).jpg,Leaf spot
OBS0097,SRC0075,images/B (28).png,Leaf spot
OBS0098,SRC0080,images/B (29).jpg,Leaf spot
OBS0099,SRC0075,images/B (29).png,Leaf spot
OBS0100,SRC0038,images/B (3).jpg,Leaf spot
OBS0102,SRC0156,images/B (30).jpg,Leaf spot
OBS0103,SRC0075,images/B (30).png,Leaf spot
OBS0104,SRC0156,images/B (31).jpg,Leaf spot
OBS0105,SRC0075,images/B (31).png,Leaf spot
OBS0106,SRC0069,images/B (32).jpg,Leaf spot
OBS0107,SRC0075,images/B (32).png,Leaf spot
OBS0108,SRC0009,images/B (33).jpg,Leaf spot
OBS0109,SRC0075,images/B (33).png,Leaf spot
OBS0110,SRC0069,images/B (34).jpg,Leaf spot
OBS0111,SRC0075,images/B (34).png,Leaf spot
OBS0112,SRC0027,images/B (35).jpg,Leaf spot
OBS0113,SRC0075,images/B (35).png,Leaf spot
OBS0114,SRC0080,images/B (36).jpg,Leaf spot
OBS0115,SRC0188,images/B (36).png,Leaf spot
OBS0116,SRC0130,images/B (37).jpg,Leaf spot
OBS0117,SRC0188,images/B (37).png,Leaf spot
OBS0118,SRC0130,images/B (38).jpg,Leaf spot
OBS0119,SRC0188,images/B (38).png,Leaf spot
OBS0121,SRC0188,images/B (39).png,Leaf spot
OBS0123,SRC0064,images/B (4).png,Leaf spot
OBS0125,SRC0188,images/B (40).png,Leaf spot
OBS0126,SRC0113,images/B (41).jpg,Leaf spot
OBS0127,SRC0164,images/B (41).png,Leaf spot
OBS0128,SRC0113,images/B (42).jpg,Leaf spot
OBS0129,SRC0164,images/B (42).png,Leaf spot
OBS0130,SRC0128,images/B (43).jpg,Leaf spot
OBS0131,SRC0164,images/B (43).png,Leaf spot
OBS0132,SRC0128,images/B (44).jpg,Leaf spot
OBS0133,SRC0164,images/B (44).png,Leaf spot
OBS0134,SRC0128,images/B (45).jpg,Leaf spot
OBS0135,SRC0164,images/B (45).png,Leaf spot
OBS0136,SRC0128,images/B (46).jpg,Leaf spot
OBS0137,SRC0164,images/B (46).png,Leaf spot
OBS0138,SRC0114,images/B (47).jpg,Leaf spot
OBS0139,SRC0164,images/B (47).png,Leaf spot
OBS0140,SRC0114,images/B (48).jpg,Leaf spot
OBS0141,SRC0224,images/B (48).png,Leaf spot
OBS0142,SRC0114,images/B (49).jpg,Leaf spot
OBS0143,SRC0224,images/B (49).png,Leaf spot
OBS0144,SRC0087,images/B (5).jpg,Leaf spot
OBS0146,SRC0114,images/B (50).jpg,Leaf spot
OBS0147,SRC0224,images/B (50).png,Leaf spot
OBS0148,SRC0025,images/B (51).jpg,Leaf spot
OBS0149,SRC0224,images/B (51).png,Leaf spot
OBS0150,SRC0025,images/B (52).jpg,Leaf spot
OBS0151,SRC0224,images/B (52).png,Leaf spot
OBS0152,SRC0025,images/B (53).jpg,Leaf spot
OBS0153,SRC0157,images/B (53).png,Leaf spot
OBS0154,SRC0025,images/B (54).jpg,Leaf spot
OBS0155,SRC0157,images/B (54).png,Leaf spot
OBS0156,SRC0086,images/B (55).jpg,Leaf spot
OBS0157,SRC0157,images/B (55).png,Leaf spot
OBS0158,SRC0086,images/B (56).jpg,Leaf spot
OBS0159,SRC0157,images/B (56).png,Leaf spot
OBS0160,SRC0086,images/B (57).jpg,Leaf spot
OBS0161,SRC0157,images/B (57).png,Leaf spot
OBS0162,SRC0197,images/B (58).jpg,Leaf spot
OBS0163,SRC0157,images/B (58).png,Leaf spot
OBS0164,SRC0197,images/B (59).jpg,Leaf spot
OBS0165,SRC0157,images/B (59).png,Leaf spot
OBS0166,SRC0094,images/B (6).jpg,Leaf spot
OBS0168,SRC0197,images/B (60).jpg,Leaf spot
OBS0169,SRC0157,images/B (60).png,Leaf spot
OBS0170,SRC0197,images/B (61).jpg,Leaf spot
OBS0171,SRC0003,images/B (61).png,Leaf spot
OBS0173,SRC0003,images/B (62).png,Leaf spot
OBS0175,SRC0011,images/B (63).png,Leaf spot
OBS0177,SRC0011,images/B (64).png,Leaf spot
OBS0179,SRC0089,images/B (65).png,Leaf spot
OBS0181,SRC0089,images/B (66).png,Leaf spot
OBS0183,SRC0139,images/B (67).png,Leaf spot
OBS0185,SRC0139,images/B (68).png,Leaf spot
OBS0187,SRC0166,images/B (69).png,Leaf spot
OBS0188,SRC0016,images/B (7).jpg,Leaf spot
OBS0190,SRC0187,images/B (70).jpg,Leaf spot
OBS0191,SRC0166,images/B (70).png,Leaf spot
OBS0192,SRC0187,images/B (71).jpg,Leaf spot
OBS0193,SRC0132,images/B (71).png,Leaf spot
OBS0194,SRC0187,images/B (72).jpg,Leaf spot
OBS0195,SRC0132,images/B (72).png,Leaf spot
OBS0196,SRC0051,images/B (73).jpg,Leaf spot
OBS0197,SRC0202,images/B (73).png,Leaf spot
OBS0198,SRC0221,images/B (74).jpg,Leaf spot
OBS0199,SRC0202,images/B (74).png,Leaf spot
OBS0200,SRC0220,images/B (75).jpg,Leaf spot
OBS0201,SRC0133,images/B (75).png,Leaf spot
OBS0203,SRC0133,images/B (76).png,Leaf spot
OBS0204,SRC0230,images/B (77).jpg,Leaf spot
OBS0208,SRC0203,images/B (79).jpg,Leaf spot
OBS0210,SRC0199,images/B (8).jpg,Leaf spot
OBS0211,SRC0115,images/B (8).png,Leaf spot
OBS0212,SRC0203,images/B (80).jpg,Leaf spot
OBS0214,SRC0186,images/B (81).jpg,Leaf spot
OBS0215,SRC0104,images/B (81).png,Leaf spot
OBS0216,SRC0186,images/B (82).jpg,Leaf spot
OBS0217,SRC0104,images/B (82).png,Leaf spot
OBS0219,SRC0102,images/B (83).png,Leaf spot
OBS0220,SRC0187,images/B (84).jpg,Leaf spot
OBS0221,SRC0102,images/B (84).png,Leaf spot
OBS0222,SRC0037,images/B (85).jpg,Leaf spot
OBS0223,SRC0169,images/B (85).png,Leaf spot
OBS0224,SRC0037,images/B (86).jpg,Leaf spot
OBS0225,SRC0169,images/B (86).png,Leaf spot
OBS0226,SRC0037,images/B (87).jpg,Leaf spot
OBS0227,SRC0149,images/B (87).png,Leaf spot
OBS0228,SRC0037,images/B (88).jpg,Leaf spot
OBS0229,SRC0149,images/B (88).png,Leaf spot
OBS0230,SRC0047,images/B (89).jpg,Leaf spot
OBS0231,SRC0184,images/B (89).png,Leaf spot
OBS0232,SRC0122,images/B (9).jpg,Leaf spot
OBS0233,SRC0064,images/B (9).png,Leaf spot
OBS0234,SRC0047,images/B (90).jpg,Leaf spot
OBS0235,SRC0184,images/B (90).png,Leaf spot
OBS0236,SRC0047,images/B (91).jpg,Leaf spot
OBS0237,SRC0096,images/B (91).png,Leaf spot
OBS0238,SRC0047,images/B (92).jpg,Leaf spot
OBS0239,SRC0096,images/B (92).png,Leaf spot
OBS0240,SRC0167,images/B (93).jpg,Leaf spot
OBS0241,SRC0188,images/B (93).png,Leaf spot
OBS0242,SRC0167,images/B (94).jpg,Leaf spot
OBS0243,SRC0188,images/B (94).png,Leaf spot
OBS0244,SRC0167,images/B (95).jpg,Leaf spot
OBS0245,SRC0164,images/B (95).png,Leaf spot
OBS0246,SRC0167,images/B (96).jpg,Leaf spot
OBS0247,SRC0164,images/B (96).png,Leaf spot
OBS0248,SRC0012,images/B (97).jpg,Leaf spot
OBS0249,SRC0228,images/B (97).png,Leaf spot
OBS0250,SRC0012,images/B (98).jpg,Leaf spot
OBS0251,SRC0228,images/B (98).png,Leaf spot
OBS0252,SRC0012,images/B (99).jpg,Leaf spot
