epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,1.039617,0.703869,0.567419,0.964286,162,1419,597,6,
2,0.402261,0.940972,0.148132,1.0,168,1897,119,0,
3,0.202889,0.960317,0.057248,1.0,168,1936,80,0,
4,0.131646,0.972222,0.060717,1.0,168,1960,56,0,
5,0.111212,0.976687,0.053365,1.0,168,1969,47,0,
6,0.072815,0.985615,0.02574,1.0,168,1987,29,0,
7,0.069366,0.984127,0.041544,1.0,168,1984,32,0,
8,0.050164,0.990575,0.035596,1.0,168,1997,19,0,
9,0.058605,0.985615,0.019982,1.0,168,1987,29,0,
10,0.040358,0.994544,0.026398,1.0,168,2005,11,0,
