epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,0.501179,0.906746,0.136319,1.0,168,1828,188,0,
2,0.04377,0.993056,0.049114,1.0,168,2002,14,0,
3,0.016055,0.995536,0.016186,1.0,168,2007,9,0,
4,0.015161,0.995536,0.057065,0.952381,160,2007,9,8,
5,0.00607,1.0,0.046768,0.97619,164,2016,0,4,
6,0.003126,1.0,0.035173,0.97619,164,2016,0,4,
7,0.002324,1.0,0.036721,0.97619,164,2016,0,4,
8,0.001482,1.0,0.042375,0.97619,164,2016,0,4,
9,0.013935,0.996032,0.055231,0.97619,164,2008,8,4,
10,0.002144,1.0,0.063937,0.97619,164,2016,0,4,
