Condition,Experiment,Correct,Total,Accuracy,Macro_F1,Source_Correct,Source_Total,Source_Accuracy,Mean_Confidence,Accuracy_Drop_From_Clean
clean,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.999082,0.00000
clean,multimodal,168,168,1.00000,1.000000,46,46,1.000000,0.998991,0.00000
clean,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.997853,0.00000
low_brightness,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.998743,0.00000
low_brightness,multimodal,168,168,1.00000,1.000000,46,46,1.000000,0.997021,0.00000
low_brightness,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.997130,0.00000
low_contrast,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.999031,0.00000
low_contrast,multimodal,168,168,1.00000,1.000000,46,46,1.000000,0.998462,0.00000
low_contrast,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.997428,0.00000
gaussian_blur,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.996227,0.00000
gaussian_blur,multimodal,168,168,1.00000,1.000000,46,46,1.000000,0.995848,0.00000
gaussian_blur,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.996610,0.00000
partial_occlusion,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.999264,0.00000
partial_occlusion,multimodal,168,168,1.00000,1.000000,46,46,1.000000,0.999095,0.00000
partial_occlusion,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.998842,0.00000
combined_degradation,vit_only,168,168,1.00000,1.000000,46,46,1.000000,0.979127,0.00000
combined_degradation,multimodal,164,168,0.97619,0.977053,45,46,0.978261,0.984560,0.02381
combined_degradation,shuffled_sensor,168,168,1.00000,1.000000,46,46,1.000000,0.986171,0.00000
