epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,1.371182,0.291667,1.333453,0.636905,107,588,1428,61,
2,1.319468,0.499504,1.273104,0.720238,121,1007,1009,47,
3,1.257263,0.58879,1.185127,0.72619,122,1187,829,46,
4,1.177909,0.647321,1.092226,0.720238,121,1305,711,47,
5,1.095779,0.649802,0.986918,0.714286,120,1310,706,48,
6,1.000786,0.66121,0.888707,0.720238,121,1333,683,47,
7,0.921064,0.672619,0.80738,0.714286,120,1356,660,48,
8,0.872959,0.665675,0.752974,0.714286,120,1342,674,48,
9,0.843897,0.657242,0.724219,0.708333,119,1325,691,49,
10,0.803853,0.673611,0.678672,0.714286,120,1358,658,48,
