epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,0.302696,0.932044,0.06047,0.988095,166,1879,137,2,
2,0.018316,0.998512,0.016249,1.0,168,2013,3,0,
3,0.020369,0.996528,0.009396,1.0,168,2009,7,0,
4,0.003855,1.0,0.014248,1.0,168,2016,0,0,
5,0.002219,1.0,0.009086,1.0,168,2016,0,0,
6,0.001584,1.0,0.005014,1.0,168,2016,0,0,
7,0.001139,1.0,0.004077,1.0,168,2016,0,0,
8,0.000818,1.0,0.002392,1.0,168,2016,0,0,
9,0.000666,1.0,0.002184,1.0,168,2016,0,0,
10,0.000537,1.0,0.002809,1.0,168,2016,0,0,
