epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,0.288139,0.945437,0.041179,1.0,168,1906,110,0,
2,0.025005,0.995536,0.051817,0.97619,164,2007,9,4,
3,0.008629,0.999504,0.00743,1.0,168,2015,1,0,
4,0.003449,1.0,0.006145,1.0,168,2016,0,0,
5,0.002245,1.0,0.003355,1.0,168,2016,0,0,
6,0.001584,1.0,0.002238,1.0,168,2016,0,0,
7,0.00117,1.0,0.003956,1.0,168,2016,0,0,
8,0.000872,1.0,0.001812,1.0,168,2016,0,0,
9,0.000695,1.0,0.001077,1.0,168,2016,0,0,
10,0.000524,1.0,0.000921,1.0,168,2016,0,0,
