epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_correct,train_correct,train_incorrect,val_incorrect,time_seconds
1,0.301942,0.93254,0.052992,0.988095,166,1880,136,2,
2,0.017266,0.99752,0.014312,1.0,168,2011,5,0,
3,0.009773,0.999504,0.007971,1.0,168,2015,1,0,
4,0.003114,1.0,0.005094,1.0,168,2016,0,0,
5,0.002004,1.0,0.003124,1.0,168,2016,0,0,
6,0.001489,1.0,0.002157,1.0,168,2016,0,0,
7,0.001069,1.0,0.002124,1.0,168,2016,0,0,
8,0.000776,1.0,0.001375,1.0,168,2016,0,0,
9,0.000625,1.0,0.001012,1.0,168,2016,0,0,
10,0.000508,1.0,0.001044,1.0,168,2016,0,0,
